icd	desc	class_str	subclass_str	ca_of_interest	secondary_ca	history_ca
174	Malignant neoplasm of female breast	breast		1		
174.0	Malignant neoplasm of nipple and areola of female breast	breast		1		
174.1	Malignant neoplasm of central portion of female breast	breast		1		
174.2	Malignant neoplasm of upper-inner quadrant of female breast	breast		1		
174.3	Malignant neoplasm of lower-inner quadrant of female breast	breast		1		
174.4	Malignant neoplasm of upper-outer quadrant of female breast	breast		1		
174.5	Malignant neoplasm of lower-outer quadrant of female breast	breast		1		
174.6	Malignant neoplasm of axillary tail of female breast	breast		1		
174.8	Malignant neoplasm of other specified sites of female breast	breast		1		
174.9	Malignant neoplasm of breast (female), unspecified	breast		1		
175	MALIGNANT NEOPLASM OF MALE BREAST	breast		1		
233.0	Carcinoma in situ of breast and genitourinary system, Breast	breast		1		
238.3	Neoplasm of uncertain behaviour of other and unspecified sites and tissues, Breast	breast		1		
239.3	Neoplasm of unspecified nature, Breast	breast		1		
185	MALIGNANT NEOPLASM OF PROSTATE	prostate		1		
233.4	Carcinoma in situ of breast and genitourinary system, Prostate	prostate		1		
236.5	Neoplasm of uncertain behaviour of genitourinary organs, Prostate	prostate		1		
162	Malignant neoplasm of trachea bronchus and lung	lung		1		
162.0	Malignant neoplasm of trachea	lung		1		
162.2	Malignant neoplasm of main bronchus	lung		1		
162.3	Malignant neoplasm of upper lobe, bronchus or lung	lung		1		
162.4	Malignant neoplasm of middle lobe, bronchus or lung 	lung		1		
162.5	Malignant neoplasm of lower lobe, bronchus or lung	lung		1		
162.8	Malignant neoplasm of other parts of bronchus or lung	lung		1		
162.9	Malignant neoplasm of bronchus and lung, unspecified	lung		1		
197.0	Secondary malignant neoplasm of lung	lung		1	1	
235.7	Neoplasm of uncertain behaviour of digestive and respiratory system, Trachea, bronchus and lung	lung		1		
C45.0	Mesothelioma of pleura	lung		1		
C78.2	Secondary malignant neoplasm of pleura	lung		1	1	
153	Malignant neoplasm of colon	colorectal		1		
153.0	Malignant neoplasm of hepatic flexure	colorectal		1		
153.1	Malignant neoplasm of transverse colon	colorectal		1		
153.2	Malignant neoplasm of descending colon	colorectal		1		
153.3	Malignant neoplasm of sigmoid colon	colorectal		1		
153.4	Malignant neoplasm of cecum	colorectal		1		
153.5	Malignant neoplasm of appendix vermiformis	colorectal		1		
