icd	term	class	secondary_ca	history_ca	coding_sys
140	Malignant neoplasm of lip	head and neck cancer			icd9
140.0	Upper lip, vermilion border	head and neck cancer			icd9
140.1	Lower lip, vermilion border	head and neck cancer			icd9
140.3	Upper lip, inner aspect	head and neck cancer			icd9
140.4	Lower lip, inner aspect	head and neck cancer			icd9
140.5	Lip, unspecified, inner aspect	head and neck cancer			icd9
140.6	Commissure of lip	head and neck cancer			icd9
140.8	Other	head and neck cancer			icd9
140.9	Lip, unspecified, vermilion border	head and neck cancer			icd9
141	Malignant neoplasm of tongue	head and neck cancer			icd9
141.0	Base of tongue	head and neck cancer			icd9
141.1	Dorsal surface of tongue	head and neck cancer			icd9
141.2	Tip and lateral border of tongue	head and neck cancer			icd9
141.3	Ventral surface of tongue	head and neck cancer			icd9
141.4	Anterior two-thirds of tongue, part unspecified	head and neck cancer			icd9
141.5	Junctional zone	head and neck cancer			icd9
141.6	Lingual tonsil	head and neck cancer			icd9
141.8	Other	head and neck cancer			icd9
141.9	Tongue, unspecified	head and neck cancer			icd9
142	Malignant neoplasm of major salivary glands	head and neck cancer			icd9
142.0	Parotid gland	head and neck cancer			icd9
142.1	Submandibular gland	head and neck cancer			icd9
142.2	Sublingual gland	head and neck cancer			icd9
142.8	Other	head and neck cancer			icd9
142.9	Site unspecified	head and neck cancer			icd9
143	Malignant neoplasm of gum	head and neck cancer			icd9
143.0	Upper gum	head and neck cancer			icd9
143.1	Lower gum	head and neck cancer			icd9
143.8	Other	head and neck cancer			icd9
143.9	Gum, unspecified	head and neck cancer			icd9
144	Malignant neoplasm of floor of mouth	head and neck cancer			icd9
144.0	Anterior portion	head and neck cancer			icd9
144.1	Lateral portion	head and neck cancer			icd9
144.8	Other	head and neck cancer			icd9
144.9	Part unspecified	head and neck cancer			icd9
145	Malignant neoplasm of other and unspecified parts of mouth	head and neck cancer			icd9
145.0	Cheek mucosa	head and neck cancer			icd9
145.1	Vestibule of mouth	head and neck cancer			icd9
145.2	Hard palate	head and neck cancer			icd9
145.3	Soft palate	head and neck cancer			icd9
145.4	Uvula	head and neck cancer			icd9
145.5	Palate, unspecified	head and neck cancer			icd9
145.6	Retromolar area	head and neck cancer			icd9
145.8	Other	head and neck cancer			icd9
145.9	Mouth, unspecified	head and neck cancer			icd9
146	Malignant neoplasm of oropharynx	head and neck cancer			icd9
146.0	Tonsil	head and neck cancer			icd9
146.1	Tonsillar fossa	head and neck cancer			icd9
146.2	Tonsillar pillars (anterior) (posterior)	head and neck cancer			icd9
146.3	Vallecula	head and neck cancer			icd9
146.4	Anterior aspect of epiglottis	head and neck cancer			icd9
146.5	Junctional region	head and neck cancer			icd9
146.6	Lateral wall of oropharynx	head and neck cancer			icd9
146.7	Posterior wall of oropharynx	head and neck cancer			icd9
146.8	Other	head and neck cancer			icd9
146.9	Oropharynx, unspecified	head and neck cancer			icd9
147	Malignant neoplasm of nasopharynx	head and neck cancer			icd9
147.0	Superior wall	head and neck cancer			icd9
147.1	Posterior wall	head and neck cancer			icd9
147.2	Lateral wall	head and neck cancer			icd9
147.3	Anterior wall	head and neck cancer			icd9
147.8	Other	head and neck cancer			icd9
147.9	Nasopharynx, unspecified	head and neck cancer			icd9
148	Malignant neoplasm of hypopharynx	head and neck cancer			icd9
148.0	Postcricoid region	head and neck cancer			icd9
148.1	Pyriform sinus	head and neck cancer			icd9
148.2	Aryepiglottic fold, hypopharyngeal aspect	head and neck cancer			icd9
148.3	Posterior hypopharyngeal wall	head and neck cancer			icd9
148.8	Other	head and neck cancer			icd9
148.9	Hypopharynx, unspecified	head and neck cancer			icd9
149	Malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx	head and neck cancer			icd9
149.0	Pharynx, unspecified	head and neck cancer			icd9
149.1	Waldeyer's ring	head and neck cancer			icd9
149.8	Other	head and neck cancer			icd9
149.9	Ill-defined	head and neck cancer			icd9
150	Malignant neoplasm of oesophagus	GI cancer			icd9
150.0	Cervical part	GI cancer			icd9
150.1	Thoracic part	GI cancer			icd9
150.2	Abdominal part	GI cancer			icd9
150.3	Upper third	GI cancer			icd9
150.4	Middle third	GI cancer			icd9
150.5	Lower third	GI cancer			icd9
150.8	Other	GI cancer			icd9
150.9	Oesophagus, unspecified	GI cancer			icd9
151	Malignant neoplasm of stomach	GI cancer			icd9
151.0	Cardia	GI cancer			icd9
151.1	Pylorus	GI cancer			icd9
151.2	Pyloric antrum	GI cancer			icd9
151.3	Fundus of stomach	GI cancer			icd9
151.4	Body of stomach	GI cancer			icd9
151.5	Lesser curvature, unspecified	GI cancer			icd9
151.6	Greater curvature, unspecified	GI cancer			icd9
151.8	Other	GI cancer			icd9
151.9	Stomach, unspecified	GI cancer			icd9
152	Malignant neoplasm of small intestine, including duodenum	GI cancer			icd9
152.0	Duodenum	GI cancer			icd9
152.1	Jejunum	GI cancer			icd9
152.2	Ileum	GI cancer			icd9
152.3	Meckel's diverticulum	GI cancer			icd9
152.8	Other	GI cancer			icd9
152.9	Small intestine, unspecified	GI cancer			icd9
155	Malignant neoplasm of liver and intrahepatic bile ducts	GI cancer			icd9
155.0	Liver, primary	GI cancer			icd9
155.1	Intrahepatic bile ducts	GI cancer			icd9
155.2	Liver, not specified as primary or secondary	GI cancer			icd9
156	Malignant neoplasm of gallbladder and extrahepatic bile ducts	GI cancer			icd9
