icd	term	class	secondary_ca	history_ca	coding_sys
C00	Malignant neoplasm of lip	head and neck cancer			icd10
C000	External upper lip	head and neck cancer			icd10
C001	External lower lip	head and neck cancer			icd10
C002	External lip, unspecified	head and neck cancer			icd10
C003	Upper lip, inner aspect	head and neck cancer			icd10
C004	Lower lip, inner aspect	head and neck cancer			icd10
C005	Lip, unspecified, inner aspect	head and neck cancer			icd10
C006	Commissure of lip	head and neck cancer			icd10
C008	Overlapping lesion of lip	head and neck cancer			icd10
C009	Lip, unspecified	head and neck cancer			icd10
C01	Malignant neoplasm of base of tongue	head and neck cancer			icd10
C02	Malignant neoplasm of other and unspecified parts of tongue	head and neck cancer			icd10
C020	Dorsal surface of tongue	head and neck cancer			icd10
C021	Border of tongue	head and neck cancer			icd10
C022	Ventral surface of tongue	head and neck cancer			icd10
C023	Anterior two-thirds of tongue, part unspecified	head and neck cancer			icd10
C024	Lingual tonsil	head and neck cancer			icd10
C028	Overlapping lesion of tongue	head and neck cancer			icd10
C029	Tongue, unspecified	head and neck cancer			icd10
C03	Malignant neoplasm of gum	head and neck cancer			icd10
C030	Upper gum	head and neck cancer			icd10
C031	Lower gum	head and neck cancer			icd10
C039	Gum, unspecified	head and neck cancer			icd10
C04	Malignant neoplasm of floor of mouth	head and neck cancer			icd10
C040	Anterior floor of mouth	head and neck cancer			icd10
C041	Lateral floor of mouth	head and neck cancer			icd10
C048	Overlapping lesion of floor of mouth	head and neck cancer			icd10
C049	Floor of mouth, unspecified	head and neck cancer			icd10
C05	Malignant neoplasm of palate	head and neck cancer			icd10
C050	Hard palate	head and neck cancer			icd10
C051	Soft palate	head and neck cancer			icd10
C052	Uvula	head and neck cancer			icd10
C058	Overlapping lesion of palate	head and neck cancer			icd10
C059	Palate, unspecified	head and neck cancer			icd10
C06	Malignant neoplasm of other and unspecified parts of mouth	head and neck cancer			icd10
C060	Cheek mucosa	head and neck cancer			icd10
C061	Vestibule of mouth	head and neck cancer			icd10
C062	Retromolar area	head and neck cancer			icd10
C068	Overlapping lesion of other and unspecified parts of mouth	head and neck cancer			icd10
C069	Mouth, unspecified	head and neck cancer			icd10
C07	Malignant neoplasm of parotid gland	head and neck cancer			icd10
C08	Malignant neoplasm of other and unspecified major salivary glands	head and neck cancer			icd10
C080	Submandibular gland	head and neck cancer			icd10
C081	Sublingual gland	head and neck cancer			icd10
C088	Overlapping lesion of major salivary glands	head and neck cancer			icd10
C089	Major salivary gland, unspecified	head and neck cancer			icd10
C09	Malignant neoplasm of tonsil	head and neck cancer			icd10
C090	Tonsillar fossa	head and neck cancer			icd10
C091	Tonsillar pillar (anterior)(posterior)	head and neck cancer			icd10
C098	Overlapping lesion of tonsil	head and neck cancer			icd10
C099	Tonsil, unspecified	head and neck cancer			icd10
C10	Malignant neoplasm of oropharynx	head and neck cancer			icd10
C100	Vallecula	head and neck cancer			icd10
C101	Anterior surface of epiglottis	head and neck cancer			icd10
C102	Lateral wall of oropharynx	head and neck cancer			icd10
C103	Posterior wall of oropharynx	head and neck cancer			icd10
C104	Branchial cleft	head and neck cancer			icd10
C108	Overlapping lesion of oropharynx	head and neck cancer			icd10
C109	Oropharynx, unspecified	head and neck cancer			icd10
C11	Malignant neoplasm of nasopharynx	head and neck cancer			icd10
C110	Superior wall of nasopharynx	head and neck cancer			icd10
C111	Posterior wall of nasopharynx	head and neck cancer			icd10
C112	Lateral wall of nasopharynx	head and neck cancer			icd10
C113	Anterior wall of nasopharynx	head and neck cancer			icd10
C118	Overlapping lesion of nasopharynx	head and neck cancer			icd10
C119	Nasopharynx, unspecified	head and neck cancer			icd10
C12	Malignant neoplasm of piriform sinus	head and neck cancer			icd10
C13	Malignant neoplasm of hypopharynx	head and neck cancer			icd10
C130	Postcricoid region	head and neck cancer			icd10
C131	Aryepiglottic fold, hypopharyngeal aspect	head and neck cancer			icd10
C132	Posterior wall of hypopharynx	head and neck cancer			icd10
C138	Overlapping lesion of hypopharynx	head and neck cancer			icd10
C139	Hypopharynx, unspecified	head and neck cancer			icd10
C14	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx	head and neck cancer			icd10
C140	Pharynx, unspecified	head and neck cancer			icd10
C142	Waldeyer ring	head and neck cancer			icd10
C148	Overlapping lesion of lip, oral cavity and pharynx	head and neck cancer			icd10
C15	Malignant neoplasm of oesophagus	GI cancer			icd10
C150	Cervical part of oesophagus	GI cancer			icd10
C151	Thoracic part of oesophagus	GI cancer			icd10
C152	Abdominal part of oesophagus	GI cancer			icd10
C153	Upper third of oesophagus	GI cancer			icd10
C154	Middle third of oesophagus	GI cancer			icd10
C155	Lower third of oesophagus	GI cancer			icd10
C158	Overlapping lesion of oesophagus	GI cancer			icd10
C159	Oesophagus, unspecified	GI cancer			icd10
C16	Malignant neoplasm of stomach	GI cancer			icd10
C160	Cardia	GI cancer			icd10
C161	Fundus of stomach	GI cancer			icd10
C162	Body of stomach	GI cancer			icd10
C163	Pyloric antrum	GI cancer			icd10
C164	Pylorus	GI cancer			icd10
C165	Lesser curvature of stomach, unspecified	GI cancer			icd10
C166	Greater curvature of stomach, unspecified	GI cancer			icd10
C168	Overlapping lesion of stomach	GI cancer			icd10
C169	Stomach, unspecified	GI cancer			icd10
C17	Malignant neoplasm of small intestine	GI cancer			icd10
C170	Duodenum	GI cancer			icd10
C171	Jejunum	GI cancer			icd10
C172	Ileum	GI cancer			icd10
C173	Meckel diverticulum	GI cancer			icd10
C178	Overlapping lesion of small intestine	GI cancer			icd10
C179	Small intestine, unspecified	GI cancer			icd10
C21	Malignant neoplasm of anus and anal canal	GI cancer			icd10
C210	Anus, unspecified	GI cancer			icd10
C211	Anal canal	GI cancer			icd10
C212	Cloacogenic zone	GI cancer			icd10
C218	Overlapping lesion of rectum, anus and anal canal	GI cancer			icd10
C22	Malignant neoplasm of liver and intrahepatic bile ducts	GI cancer			icd10
C220	Liver cell carcinoma	GI cancer			icd10
C221	Intrahepatic bile duct carcinoma	GI cancer			icd10
C222	Hepatoblastoma	GI cancer			icd10
C223	Angiosarcoma of liver	GI cancer			icd10
C224	Other sarcomas of liver	GI cancer			icd10
C227	Other specified carcinomas of liver	GI cancer			icd10
C229	Liver, unspecified	GI cancer			icd10
C23	Malignant neoplasm of gallbladder	GI cancer			icd10
C24	Malignant neoplasm of other and unspecified parts of biliary tract	GI cancer			icd10
C240	Extrahepatic bile duct	GI cancer			icd10
C241	Ampulla of Vater	GI cancer			icd10
C248	Overlapping lesion of biliary tract	GI cancer			icd10
C249	Biliary tract, unspecified	GI cancer			icd10
C25	Malignant neoplasm of pancreas	GI cancer			icd10
C250	Head of pancreas	GI cancer			icd10
C251	Body of pancreas	GI cancer			icd10
C252	Tail of pancreas	GI cancer			icd10
C253	Pancreatic duct	GI cancer			icd10
C254	Endocrine pancreas	GI cancer			icd10
C257	Other parts of pancreas	GI cancer			icd10
C258	Overlapping lesion of pancreas	GI cancer			icd10
C259	Pancreas, unspecified	GI cancer			icd10
C26	Malignant neoplasm of other and ill-defined digestive organs	GI cancer			icd10
C260	Intestinal tract, part unspecified	GI cancer			icd10
C261	Spleen	GI cancer			icd10
C268	Overlapping lesion of digestive system	GI cancer			icd10
C269	Ill-defined sites within the digestive system	GI cancer			icd10
C30	Malignant neoplasm of nasal cavity and middle ear	respiratory and intrathoracic cancer			icd10
C300	Nasal cavity	respiratory and intrathoracic cancer			icd10
C301	Middle ear	respiratory and intrathoracic cancer			icd10
C31	Malignant neoplasm of accessory sinuses	respiratory and intrathoracic cancer			icd10
C310	Maxillary sinus	respiratory and intrathoracic cancer			icd10
C311	Ethmoidal sinus	respiratory and intrathoracic cancer			icd10
C312	Frontal sinus	respiratory and intrathoracic cancer			icd10
C313	Sphenoidal sinus	respiratory and intrathoracic cancer			icd10
C318	Overlapping lesion of accessory sinuses	respiratory and intrathoracic cancer			icd10
C319	Accessory sinus, unspecified	respiratory and intrathoracic cancer			icd10
C32	Malignant neoplasm of larynx	respiratory and intrathoracic cancer			icd10
C320	Glottis	respiratory and intrathoracic cancer			icd10
C321	Supraglottis	respiratory and intrathoracic cancer			icd10
C322	Subglottis	respiratory and intrathoracic cancer			icd10
C323	Laryngeal cartilage	respiratory and intrathoracic cancer			icd10
C328	Overlapping lesion of larynx	respiratory and intrathoracic cancer			icd10
C329	Larynx, unspecified	respiratory and intrathoracic cancer			icd10
C37	Malignant neoplasm of thymus	respiratory and intrathoracic cancer			icd10
C38	Malignant neoplasm of heart, mediastinum and pleura	respiratory and intrathoracic cancer			icd10
C380	Heart	respiratory and intrathoracic cancer			icd10
C381	Anterior mediastinum	respiratory and intrathoracic cancer			icd10
C382	Posterior mediastinum	respiratory and intrathoracic cancer			icd10
C383	Mediastinum, part unspecified	respiratory and intrathoracic cancer			icd10
C388	Overlapping lesion of heart, mediastinum and pleura	respiratory and intrathoracic cancer			icd10
C39	Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs	respiratory and intrathoracic cancer			icd10
C390	Upper respiratory tract, part unspecified	respiratory and intrathoracic cancer			icd10
C398	Overlapping lesion of respiratory and intrathoracic organs	respiratory and intrathoracic cancer			icd10
C399	Ill-defined sites within the respiratory system	respiratory and intrathoracic cancer			icd10
Z852	Personal history of malignant neoplasm of other respiratory and intrathoracic organs	respiratory and intrathoracic cancer		1	icd10
C40	Malignant neoplasm of bone and articular cartilage of limbs	bone and cartilage cancer			icd10
