icd	term	liver_mild	liver_severe
B18	Chronic viral hepatitis	1	
B18.0	Chronic viral hepatitis B with delta-agent	1	
B18.1	Chronic viral hepatitis B without delta-agent	1	
B18.2	Chronic viral hepatitis C	1	
B18.8	Other chronic viral hepatitis	1	
B18.9	Chronic viral hepatitis, unspecified	1	
K70	Alcoholic liver disease	1	
K70.0	Alcoholic fatty liver	1	
K70.1	Alcoholic hepatitis	1	
K70.2	Alcoholic fibrosis and sclerosis of liver	1	
K70.3	Alcoholic cirrhosis of liver	1	
K70.9	Alcoholic liver disease, unspecified	1	
K71.3	Toxic liver disease with chronic persistent hepatitis	1	
K71.4	Toxic liver disease with chronic lobular hepatitis	1	
K71.5	Toxic liver disease with chronic active hepatitis	1	
K71.6	Toxic liver disease with hepatitis, not elsewhere classified	1	
K71.7	Toxic liver disease with fibrosis and cirrhosis of liver	1	
K71.8	Toxic liver disease with other disorders of liver	1	
K71.9	Toxic liver disease, unspecified	1	
K73	Chronic hepatitis, not elsewhere classified	1	
K73.0	Chronic persistent hepatitis, not elsewhere classified	1	
K73.1	Chronic lobular hepatitis, not elsewhere classified	1	
K73.2	Chronic active hepatitis, not elsewhere classified	1	
K73.8	Other chronic hepatitis, not elsewhere classified	1	
K73.9	Chronic hepatitis, unspecified	1	
K74	Fibrosis and cirrhosis of liver	1	
K74.0	Hepatic fibrosis	1	
K74.1	Hepatic sclerosis	1	
K74.2	Hepatic fibrosis with hepatic sclerosis	1	
K74.3	Primary biliary cirrhosis	1	
K74.4	Secondary biliary cirrhosis	1	
K74.5	Biliary cirrhosis, unspecified	1	
K74.6	Other and unspecified cirrhosis of liver	1	
K76	Other diseases of liver	1	
K76.0	Fatty (change of) liver, not elsewhere classified	1	
K76.2	Central haemorrhagic necrosis of liver	1	
K76.3	Infarction of liver	1	
K76.4	Peliosis hepatis	1	
K76.8	Other specified diseases of liver	1	
K76.9	Liver disease, unspecified	1	
Z94.4	Liver transplant status	1	
I85	Oesophageal varices		1
I85.0	Oesophageal varices with bleeding		1
I85.9	Oesophageal varices without bleeding		1
I86.4	Gastric varices		1
K70.4	Alcoholic hepatic failure		1
K71.1	Toxic liver disease with hepatic necrosis		1
K72.9	Hepatic failure, unspecified		1
K76.5	Hepatic veno-occlusive disease		1
K76.6	Portal hypertension		1
K76.7	Hepatorenal syndrome		1
